Data on blood pressures measured by both a physcian and a nurse on the same visit,,,
Not a controlled experiment since the nurse's bp was measured first.,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
NurseSbp,NurseDbp,PhysSbp,PhysDbp
182,102,186,104
102,70,110,80
132,74,114,64
126,78,130,86
128,80,136,78
142,76,112,80
102,62,94,58
96,64,104,76
104,64,112,70
120,88,120,82
118,70,130,71
108,70,114,80
168,98,132,92
108,64,118,74
168,78,148,72
122,80,134,84
136,100,142,86
140,80,158,96
110,70,116,80
100,72,108,70
138,74,154,76
122,72,136,86
136,84,142,86
154,100,188,106
102,60,106,68
206,78,204,88
142,102,142,98
154,98,154,100
112,68,106,70
108,72,112,80
140,88,140,94
134,82,162,82
154,92,154,88
116,80,132,78
124,72,146,76
152,102,180,98
136,72,120,60
150,98,146,100
124,78,120,70
132,78,132,78
122,72,126,88
142,82,128,75
124,90,126,84
132,90,142,88
106,72,104,60
132,72,120,76
132,94,144,102
144,80,132,76
102,70,114,80
152,82,192,90
98,58,92,58
166,84,154,92
150,108,158,102
154,82,134,86
152,98,150,90
120,70,150,84
132,82,138,82
134,82,160,90
148,102,132,96
100,76,120,82
128,90,114,74
142,102,138,88
120,64,124,74
148,82,160,94
108,66,120,72
108,60,120,66
126,76,126,70
158,88,126,92
106,68,110,62
100,62,122,64
124,92,144,94
132,80,138,84
134,72,132,88
122,84,130,84
170,102,142,92
142,80,162,84
134,84,128,80
108,62,116,66
168,88,210,110
142,86,130,80
142,90,140,84
138,102,162,90
118,78,132,76
184,102,174,90
112,70,138,82
120,70,126,54
112,62,116,76
112,74,124,74
114,82,110,72
148,110,164,94
114,90,132,82
92,70,104,70
142,100,162,104
184,104,200,110
118,82,130,84
140,92,130,102
186,94,158,98
144,76,126,68
112,60,108,58
142,90,134,76
108,68,124,64
136,94,166,104
130,84,118,80
108,62,110,64
114,72,114,74
108,62,110,70
244,108,210,100
138,86,150,88
112,76,136,76
162,80,150,92
144,78,166,84
134,100,128,98
178,88,146,92
140,94,136,92
130,88,126,78
118,68,102,76
128,94,124,94
142,92,146,88
162,80,148,74
128,76,120,80
130,78,144,74
168,80,132,78
100,64,102,60
136,78,134,80
88,56,90,58
150,90,140,88
124,76,118,86
126,78,148,70
138,88,144,96
84,60,110,78
168,102,180,112
102,68,96,70
106,68,126,80
180,100,174,114
114,80,110,68
138,80,152,84
134,62,142,76
126,60,124,74
104,90,106,72
158,86,146,86
114,88,138,78
122,76,138,74
136,90,150,84
148,88,110,74
128,84,142,88
110,68,110,70
136,82,154,90
88,60,104,60
188,94,172,94
100,60,96,60
132,84,128,94
128,88,158,108
126,80,138,90
160,108,162,96
102,80,122,78
150,90,142,90
124,72,124,76
112,70,120,78
146,88,164,92
132,70,116,72
130,78,134,78
138,90,166,94
148,100,142,90
112,78,118,74
122,68,122,80
104,80,100,70
140,90,136,94
166,76,170,76
124,92,120,86
118,80,130,74
138,90,142,88
128,74,124,68
158,100,152,94
122,90,115,90
108,68,110,72
120,70,110,74
160,96,194,102
112,76,124,84
146,88,148,90
108,84,107,80
110,62,132,70
116,74,134,60
144,80,148,92
122,90,120,64
128,70,113,58
112,72,104,76
182,108,168,92
174,112,150,98
126,64,122,66
84,60,98,62
138,84,140,84
130,70,116,70
150,90,142,88
148,120,150,114
126,70,110,68
112,92,114,90
144,102,144,100
152,100,146,90
140,90,156,94
116,82,124,82
146,88,142,76
152,100,140,98
102,70,106,74
134,78,122,76
152,94,156,98
116,70,110,72
150,90,170,102
160,116,124,100
110,68,118,72
146,80,164,102
140,88,150,92
136,56,116,60
110,84,134,84
118,78,122,86
132,94,126,90
168,100,162,104
136,82,146,94
134,92,134,80
94,60,120,64
100,72,118,72
114,72,124,80
102,78,96,60
114,90,122,82
138,92,142,86
124,80,122,88
122,68,124,86
178,110,186,96
144,100,158,102
144,80,126,82
108,68,124,76
116,54,116,68
156,78,160,80
162,100,154,100
138,64,134,80
88,54,90,68
132,78,138,74
142,70,154,84
92,60,90,62
148,88,154,88
122,68,126,70
120,72,134,82
152,110,184,110
154,82,154,94
146,90,154,100
112,80,108,76
134,76,132,82
116,76,142,78
134,76,134,78
140,76,144,66
112,78,124,78
122,72,128,84
142,86,122,90
124,70,136,76
102,74,120,66
98,66,96,70
142,100,174,104
120,74,116,72
184,100,174,116
180,110,178,100
122,92,126,86
142,70,156,80
128,72,124,78
142,88,162,78
114,64,148,88
142,88,136,100
118,74,116,76
104,70,104,74
208,110,192,86
102,70,102,68
182,102,186,108
102,72,96,70
150,80,152,84
154,94,172,92
148,82,142,86
124,64,130,82
128,72,144,80
152,102,164,102
184,120,178,88
118,64,108,60
184,94,176,86
122,72,98,66
142,84,146,70
96,76,106,66
112,90,134,90
138,78,120,80
110,72,122,88
118,72,116,78
108,70,122,80
112,80,112,70
142,102,136,86
118,78,150,92
130,82,134,86
122,80,114,70
94,54,114,86
94,62,104,68
116,82,138,88
152,90,144,88
146,74,148,80
112,72,110,74
112,74,110,80
158,80,160,88
112,80,116,74
166,88,178,92
128,82,132,82
118,74,130,80
142,86,120,88
98,70,120,72
124,76,124,82
118,66,118,72
124,80,136,84
124,80,134,84
128,78,114,80
130,80,144,70
120,76,112,66
150,78,156,92
112,62,102,58
108,66,110,60
142,96,128,78
138,80,146,78
134,80,142,86
164,90,174,94
134,76,120,74
128,90,136,86
108,72,136,90
114,80,124,88
142,92,144,92
136,84,142,78
174,106,174,120
126,68,132,72
162,106,132,84
158,88,140,98
152,90,162,104
142,92,116,80
146,100,176,102
112,84,124,76
104,80,114,76
136,82,146,88
118,70,130,76
178,100,176,102
122,86,146,94
156,84,174,98
116,78,132,82
128,76,120,74
122,76,130,76
124,74,124,70
124,86,124,86
176,82,194,80
154,94,142,84
138,70,136,76
150,88,140,86
168,110,184,100
130,102,150,96
128,78,130,74
130,90,114,72
134,74,132,70
132,102,144,86
150,100,146,96
136,74,132,72
112,60,118,74
160,92,166,92
136,80,126,88
128,70,136,80
164,96,140,90
150,90,152,84
142,90,154,100
114,66,132,68
112,64,120,86
150,96,170,104
118,80,120,74
142,72,130,82
116,74,108,80
116,78,126,80
114,70,132,74
108,68,122,66
114,80,114,74
130,82,126,74
112,64,116,68
130,76,116,84
148,74,168,78
114,78,120,84
142,90,162,104
122,96,134,94
136,88,138,92
120,72,122,74
142,80,188,86
132,82,122,98
118,80,138,78
192,88,202,78
176,98,146,96
132,80,134,84
140,78,128,74
110,70,106,76
138,62,126,70
126,80,152,88
152,76,144,78
142,104,160,102
138,68,144,74
112,80,142,78
140,80,146,84
134,82,128,86
196,100,177,88
130,78,128,80
114,76,148,92
128,82,130,76
144,88,134,90
126,78,122,74
144,96,146,90
122,70,116,76
174,94,165,95
134,76,144,74
126,78,134,72
120,76,126,74
164,110,166,106
134,84,148,98
126,80,154,86
118,78,136,82
122,80,110,72
148,74,166,86
168,110,168,104
118,72,128,86
142,78,140,86
122,76,122,84
116,66,124,74
142,90,134,90
132,110,152,110
138,88,142,94
116,70,100,76
124,90,120,80
110,64,114,64
142,100,144,98
176,108,192,102
122,70,138,80
110,70,136,86
136,100,130,88
114,78,108,72
144,90,146,96
162,102,142,96
154,90,174,96
120,72,132,78
104,74,128,80
166,88,174,88
128,76,152,84
138,78,152,88
132,90,128,92
114,84,142,80
134,78,134,82
122,78,120,74
120,82,134,90
112,68,116,54
122,66,114,60
122,78,134,78
144,92,138,98
154,90,170,96
118,60,118,74
114,68,122,64
114,78,138,76
116,70,124,70
142,82,140,94
144,72,142,74
132,90,128,68
122,76,116,76
138,78,124,80
114,82,120,80
102,76,112,72
138,70,136,78
102,66,106,74
166,90,154,90
142,88,140,102
134,80,134,82
140,110,132,84
134,82,136,82
104,72,114,74
98,64,112,68
138,88,138,90
116,64,118,76
158,92,148,88
138,90,158,100
148,80,150,86
122,82,130,78
152,90,138,84
96,62,118,66
132,72,138,74
156,90,190,100
124,84,144,88
130,96,138,88
110,78,102,64
140,86,164,104
154,80,142,74
138,88,126,76
138,92,142,82
96,62,102,70
112,90,130,82
172,92,164,94
116,68,138,76
104,68,110,74
126,90,140,74
102,68,112,56
112,70,110,70
148,84,136,80
116,72,138,78
96,54,116,60
142,108,152,100
112,64,122,82
118,72,130,72
108,70,110,76
102,60,122,84
124,86,146,72
180,110,196,112
126,82,130,72
118,80,116,66
98,52,102,54
96,58,104,64
142,100,140,84
170,88,158,92
112,80,114,78
118,80,130,92
122,100,150,100
136,84,138,86
154,100,136,90
122,88,136,96
118,80,140,90
150,100,140,85
108,62,132,66
134,78,122,82
160,98,162,98
168,90,156,80
124,92,130,90
110,64,130,74
112,66,110,54
138,70,124,70
130,80,134,86
154,92,152,100
166,108,158,96
132,72,138,72
108,66,110,70
166,96,170,92
102,60,100,62
120,68,126,78
128,78,140,88
122,84,122,88
112,80,116,68
142,94,144,96
92,60,116,66
142,86,140,84
148,86,170,96
164,90,154,92
112,72,114,66
102,80,114,88
116,64,124,60
172,102,150,94
130,100,132,92
92,54,102,64
126,84,118,80
118,68,116,78
112,76,122,82
142,92,152,90
162,92,152,86
144,98,140,92
118,70,102,66
168,122,172,106
100,66,116,62
112,76,122,74
192,88,170,100
116,64,140,84
138,88,146,99
148,78,128,80
122,70,124,76
186,102,188,94
142,98,156,98
148,88,152,92
120,84,124,84
122,80,108,80
132,80,148,98
144,76,152,78
104,82,124,70
102,82,130,82
158,88,154,92
142,92,150,100
150,98,168,96
128,72,130,92
124,80,136,84
152,76,138,80
138,88,174,94
108,68,120,70
114,84,130,80
224,128,204,120
102,58,112,62
142,110,146,110
118,84,118,92
162,96,134,82
152,104,142,104
172,110,166,94
136,80,120,82
164,90,162,100
146,76,138,80
142,82,154,84
168,98,166,90
152,70,142,64
122,96,138,90
124,78,114,80
132,88,134,86
160,90,146,82
108,68,128,88
158,94,196,102
108,72,115,75
106,74,126,76
114,74,114,72
140,80,128,80
126,78,132,92
158,100,138,78
108,68,114,82
158,90,162,90
150,80,138,82
140,88,142,90
108,66,100,66
124,70,126,70
138,80,156,76
122,88,120,94
134,88,182,104
118,78,116,78
120,90,110,70
146,98,162,98
144,92,164,98
128,82,128,82
124,72,146,90
112,70,118,66
146,90,174,90
138,72,154,74
168,80,196,82
116,70,116,78
124,82,132,86
152,88,150,92
128,76,124,70
124,74,140,80
128,86,142,100
158,88,154,96
146,80,182,82
132,70,124,70
138,76,140,66
230,132,230,120
134,86,135,86
112,80,146,80
144,88,138,80
134,94,130,94
118,76,126,86
138,96,130,90
136,88,148,98
124,80,142,76
172,130,166,120
158,88,168,85
108,70,104,76
114,78,110,70
142,78,148,80
148,96,134,84
118,74,118,76
110,74,114,74
156,94,200,90
142,100,140,84
162,118,178,112
132,78,130,84
106,68,116,66
152,88,160,96
130,80,124,80
118,72,136,82
140,94,142,88
142,96,124,90
98,56,112,72
92,64,90,64
138,84,134,82
164,90,140,100
102,72,114,60
186,106,172,104
130,76,108,80
142,92,138,90
154,90,150,94
116,80,124,84
168,98,142,100
138,76,130,72
118,74,118,76
138,82,132,84
104,60,110,74
100,64,110,60
140,80,142,86
142,80,156,78
110,72,122,70
120,76,100,70
148,88,152,90
154,80,168,90
136,100,124,88
134,78,144,80
132,80,132,90
128,78,122,76
144,96,134,94
132,94,108,64
132,78,110,72
114,60,122,70
114,74,122,82
136,90,136,86
140,88,132,88
162,86,164,86
112,80,102,74
146,88,156,82
162,76,166,72
150,94,164,102
182,98,186,114
124,84,124,82
128,90,120,86
172,86,158,76
110,80,112,82
112,80,116,80
118,68,128,74
142,92,128,76
116,78,124,86
108,72,126,78
118,70,106,78
124,80,142,78
148,96,148,104
132,86,138,86
128,84,114,84
202,90,204,100
138,102,152,90
152,92,168,104
146,88,134,88
154,110,162,114
122,80,123,85
108,68,108,68
118,88,132,84
134,92,156,100
114,82,132,88
158,100,170,100
148,72,164,76
140,88,136,90
136,86,130,80
164,90,160,92
150,86,144,90
164,96,158,88
156,88,152,96
108,68,106,68
128,78,142,86
122,70,130,84
154,98,170,100
122,74,138,70
128,84,142,96
172,120,164,112
122,74,116,78
98,68,120,80
134,62,136,60
120,82,138,78
132,86,154,80
146,100,146,104
164,80,150,76
160,94,162,90
170,100,146,90
134,78,122,72
102,68,112,70
124,90,124,88
94,70,94,60
108,66,116,70
120,84,116,90
132,88,124,80
174,104,162,94
140,72,110,66
140,100,152,100
126,72,104,62
118,68,126,74
142,76,144,78
152,92,136,92
98,60,114,60
148,80,138,82
132,80,156,88
138,88,134,92
140,110,146,108
116,64,114,66
120,90,150,92
140,90,150,100
132,102,166,96
118,78,118,84
124,90,120,84
138,82,132,84
114,78,126,86
122,76,108,76
112,70,124,78
110,82,130,76
112,62,116,70
116,78,116,80
132,90,122,80
108,74,112,78
154,80,144,88
116,72,110,66
144,108,146,90
180,106,168,110
132,84,130,84
134,94,132,80
128,78,122,80
148,80,140,86
194,92,172,84
142,80,170,70
128,76,132,82
114,74,114,74
124,80,152,84
128,80,132,80
168,108,164,104
120,72,132,70
142,92,144,96
110,66,112,70
114,80,124,78
152,96,166,96
148,88,130,72
160,88,104,80
132,86,142,88
152,92,142,92
110,74,116,74
122,78,134,88
122,80,122,68
110,72,104,60
150,82,158,78
142,90,142,84
116,70,134,64
142,98,150,94
162,110,145,95
138,88,144,94
142,80,166,84
142,86,146,88
130,78,154,98
154,88,156,88
98,76,102,60
152,94,160,94
126,82,150,88
124,82,128,76
128,76,130,68
156,76,154,82
84,60,112,66
98,76,112,72
100,68,120,76
122,90,112,78
146,100,130,70
142,90,140,88
122,72,144,92
122,84,132,78
128,74,124,68
118,78,120,76
152,72,162,74
180,108,174,104
122,92,144,82
148,98,156,104
102,78,114,82
144,88,150,88
106,72,134,72
164,92,180,98
130,70,130,80
106,68,112,66
142,78,132,82
110,82,130,86
134,78,138,74
116,68,124,80
130,108,142,90
122,90,120,88
156,82,150,94
194,122,186,122
132,86,146,98
174,108,172,104
118,72,126,76
144,68,136,70
142,78,152,80
158,88,156,82
98,70,110,75
106,64,108,62
108,68,110,70
126,78,130,76
132,82,114,62
108,70,128,88
104,62,116,74
118,68,134,64
128,78,130,80
98,54,126,86
114,60,124,56
128,78,118,74
128,70,124,74
102,70,118,66
130,70,144,82
102,72,98,74
122,78,138,86
168,78,162,68
136,76,122,76
102,60,98,62
182,82,176,108
128,72,130,82
118,80,120,75
176,96,190,100
148,108,138,120
130,68,124,76
120,82,122,78
104,62,114,68
132,90,156,104
126,80,136,80
152,92,152,90
132,94,154,94
118,78,130,86
118,70,116,64
134,100,132,88
148,72,138,72
132,86,150,94
116,70,138,80
116,72,116,80
160,102,192,120
120,78,142,82
138,86,158,90
118,74,108,70
114,94,120,80
108,72,116,78
130,90,136,86
112,80,118,74
94,70,114,74
148,88,132,84
112,80,132,74
128,76,118,74
132,100,150,94
120,90,132,88
108,68,108,74
162,104,156,96
134,88,135,88
126,76,140,94
144,90,148,84
114,78,128,86
94,70,126,74
170,90,160,98
122,88,120,76
138,82,138,90
110,86,130,80
110,72,120,70
130,100,156,80
154,82,146,82
140,70,148,78
136,86,144,90
112,70,120,64
130,80,140,80
128,86,138,80
164,92,186,94
122,76,124,86
162,88,162,82
120,86,120,88
124,84,122,98
124,78,132,92
118,72,122,80
106,68,126,74
122,76,134,88
134,82,116,88
138,76,126,80
96,60,128,64
120,76,116,82
170,96,168,104
158,88,138,84
134,82,138,78
142,86,140,90
136,94,136,94
142,92,136,78
204,108,206,108
142,92,156,92
144,92,154,96
124,80,162,80
108,64,106,70
122,80,124,92
132,84,142,78
118,88,130,92
152,82,160,78
152,86,148,80
122,68,128,78
94,54,106,64
120,80,130,80
158,92,130,85
130,80,108,76
124,76,132,84
110,68,106,58
140,90,144,80
144,86,126,86
110,64,114,72
126,70,132,80
104,82,102,62
144,74,140,70
132,80,118,66
132,86,140,80
132,84,146,100
134,82,134,96
132,90,132,88
140,100,118,84
138,88,138,84
132,82,140,90
140,84,156,88
148,94,166,108
138,90,164,98
112,80,108,72
148,80,130,72
108,72,124,74
144,88,154,100
138,66,142,68
148,78,166,90
126,78,134,76
138,86,152,99
160,92,152,98
138,88,154,100
126,78,128,82
110,90,114,90
148,90,152,78
142,76,160,66
112,70,128,80
134,84,134,86
92,62,108,66
108,68,120,80
128,78,136,86
118,60,124,68
112,70,124,68
138,76,128,70
110,80,108,76
104,62,110,64
150,86,170,96
176,88,190,82
112,80,120,90
142,72,146,72
142,80,156,80
122,82,132,92
128,88,138,90
120,84,132,86
94,62,116,70
120,78,120,82
96,76,90,56
96,54,94,60
148,78,132,78
132,88,146,76
106,66,116,70
124,70,122,76
118,64,118,50
152,110,132,88
128,78,138,88
146,78,140,82
138,76,124,84
114,70,108,78
142,72,132,70
148,78,136,88
110,66,116,70
124,86,115,80
108,70,124,86
108,76,120,80
118,78,118,78
170,80,150,82
126,82,124,88
166,104,158,96
118,64,102,68
144,88,146,96
140,90,158,110
146,98,166,100
142,108,162,90
124,70,120,70
176,88,166,96
142,90,144,90
128,58,124,68
126,84,128,86
148,90,164,96
170,88,134,80
136,106,136,96
126,64,120,64
134,88,128,84
132,82,122,72
162,94,174,86
150,80,162,80
126,90,128,84
170,90,180,102
112,70,120,70
128,72,125,75
100,80,112,75
130,86,140,84
148,82,166,76
122,78,134,86
132,76,142,78
148,78,152,80
148,94,150,88
104,72,136,80
114,72,112,74
148,112,162,110
122,80,110,68
86,60,94,56
130,74,148,90
126,66,124,74
132,100,138,90
108,68,116,74
128,76,134,82
140,90,140,94
118,68,98,66
114,70,116,74
118,76,106,66
132,90,140,80
120,82,116,88
128,92,148,98
144,84,144,84
158,92,166,98
126,60,132,72
116,78,114,80
142,92,130,86
102,60,92,60
122,88,102,70
148,88,140,90
142,88,144,90
134,64,132,66
108,70,108,70
178,112,180,92
122,72,124,76
108,70,104,74
124,98,124,90
118,78,124,80
158,88,146,96
124,72,136,74
156,104,162,84
122,84,132,88
150,74,154,82
108,72,114,80
170,100,164,94
132,72,140,68
108,68,112,70
152,100,146,84
132,90,138,78
126,78,130,86
142,80,172,94
148,92,142,94
158,94,176,100
118,78,150,92
122,88,120,94
160,108,156,108
162,108,166,114
158,92,178,96
106,68,121,78
126,76,132,80
112,66,120,62
120,68,132,68
138,76,136,74
118,66,116,64
130,88,120,82
136,78,144,80
144,82,156,84
122,90,104,76
126,68,136,64
112,86,122,78
114,74,110,66
154,72,144,84
136,78,146,92
142,88,124,76
152,98,150,96
152,110,140,92
218,96,194,104
112,68,126,78
108,78,130,88
128,82,138,88
162,100,170,92
110,80,134,82
114,82,114,84
126,82,138,80
144,88,138,84
140,90,156,88
100,68,114,66
170,88,190,96
138,90,114,88
118,80,122,76
150,84,138,82
118,78,124,74
102,68,112,66
120,78,126,86
102,72,106,66
98,64,104,62
162,114,154,90
108,62,110,70
160,80,156,90
98,64,100,76
90,66,110,58
144,90,142,90
140,72,132,72
108,72,114,70
126,66,144,76
126,78,135,80
132,90,124,76
128,84,132,82
110,78,126,74
158,90,154,90
106,70,114,78
156,84,152,74
134,68,118,72
140,92,134,84
160,94,176,108
126,70,124,74
132,90,150,94
114,70,136,68
124,78,122,88
132,82,116,62
142,80,150,74
112,68,110,70
150,80,158,90
152,90,140,76
118,80,118,80
126,74,120,74
140,90,158,86
122,92,150,98
118,78,114,76
118,72,136,72
120,88,144,90
174,110,164,112
112,70,138,80
130,88,136,86
122,72,118,72
116,76,112,86
144,74,142,78
126,80,164,104
218,100,220,100
100,64,104,70
154,90,142,94
140,84,122,76
136,78,138,86
146,86,165,94
148,80,152,88
114,80,128,68
126,68,114,80
132,90,152,84
118,76,124,84
138,68,136,68
122,70,134,76
114,78,122,70
124,76,128,82
134,80,132,92
102,60,106,60
124,90,138,78
134,78,140,84
98,62,106,70
142,96,150,90
154,88,168,84
134,82,138,94
108,62,100,60
120,84,126,82
118,70,116,72
114,80,118,88
122,68,130,80
144,84,152,84
138,78,148,92
176,100,172,92
110,72,100,68
114,66,110,62
122,88,122,86
130,72,122,80
126,82,142,94
142,74,114,70
128,78,134,86
162,92,164,78
134,90,126,90
106,64,104,62
112,80,124,80
158,108,158,108
144,88,148,80
134,68,152,68
138,82,134,78
120,84,124,92
124,74,140,82
148,88,142,86
122,82,134,84
134,94,142,90
148,88,138,66
140,94,142,94
108,68,112,72
146,90,142,92
102,80,116,88
144,82,142,80
154,80,164,84
152,80,136,84
92,56,100,60
120,80,146,80
104,66,110,60
110,68,114,66
152,88,158,80
106,60,108,64
152,88,148,92
128,80,138,92
154,98,176,98
138,76,126,68
150,80,156,86
158,90,170,88
146,92,146,100
124,84,148,82
158,92,170,96
192,98,204,104
152,102,146,86
160,100,176,104
138,106,142,92
154,92,174,94
118,66,108,74
126,68,108,74
148,98,142,98
146,94,168,92
140,90,164,90
170,120,162,108
148,98,154,102
112,70,124,68
128,78,140,74
122,80,140,78
142,88,132,92
122,80,116,78
118,60,128,72
196,110,178,100
126,76,118,74
132,84,142,76
148,92,142,94
182,110,188,100
140,80,122,86
108,78,126,70
154,90,150,82
136,80,124,90
160,98,158,100
134,94,144,90
118,78,110,83
126,78,134,70
92,72,114,70
130,80,132,64
146,92,145,95
156,92,156,90
138,80,156,66
114,66,100,60
146,80,164,88
126,82,130,88
138,92,142,88
168,100,168,90
188,108,196,120
138,94,144,94
104,62,110,70
110,70,134,70
100,62,106,54
132,90,140,90
158,78,150,68
116,70,116,84
102,72,122,74
168,108,184,106
120,70,108,70
172,98,192,104
108,80,124,88
122,82,130,74
178,100,178,96
128,84,142,82
144,110,142,94
122,96,124,84
108,66,94,54
164,86,158,94
114,70,132,94
124,82,136,88
142,80,152,92
96,64,114,64
128,80,138,76
160,108,164,84
166,90,180,94
150,100,138,86
128,68,116,68
138,72,142,70
100,78,134,84
118,80,130,82
122,86,142,82
136,74,118,66
118,66,110,88
122,50,126,60
100,72,114,76
174,90,176,90
108,76,130,80
214,118,206,110
108,70,124,70
132,92,132,96
160,98,158,88
128,80,132,94
126,68,124,68
174,92,154,76
118,80,120,76
100,64,106,62
160,94,164,98
122,92,122,94
120,78,124,81
148,92,150,78
102,82,136,92
120,84,142,88
164,94,144,92
166,76,180,100
132,86,126,82
124,84,116,68
102,74,112,74
142,88,146,72
110,70,108,60
152,100,154,100
110,72,136,90
158,90,184,88
142,100,134,82
162,122,170,104
134,80,126,70
118,66,106,62
102,68,102,62
154,90,146,100
154,110,148,86
128,84,148,88
110,80,118,78
132,80,144,76
140,82,134,74
122,80,142,90
118,78,128,80
148,84,142,82
142,78,152,82
120,80,118,88
114,66,116,80
172,78,162,74
112,72,112,74
122,68,126,74
158,96,178,96
138,108,154,94
160,100,162,96
112,70,110,60
110,82,138,86
132,78,138,80
134,88,132,80
152,86,172,92
120,100,118,82
150,92,158,94
130,88,130,86
132,90,152,86
124,82,124,86
112,80,106,70
124,76,134,84
184,102,176,90
152,96,142,94
114,80,140,92
120,102,136,98
132,80,132,70
114,76,118,74
148,90,176,84
114,74,126,80
126,80,126,82
152,70,144,70
134,92,152,90
116,70,100,56
136,76,140,72
168,100,178,110
122,78,114,72
134,84,132,82
112,70,122,86
124,78,146,68
124,78,124,80
148,102,152,90
134,82,128,78
128,78,118,80
118,84,140,88
122,80,134,76
142,86,168,94
128,88,164,88
142,92,136,90
168,92,184,96
104,74,128,74
122,76,118,78
130,96,144,100
128,94,150,90
134,86,132,78
142,88,138,72
132,74,134,80
136,88,142,84
120,74,128,80
148,80,132,82
124,92,132,78
150,102,156,110
130,78,130,76
148,76,142,80
156,100,156,98
116,82,128,84
112,74,130,70
130,90,136,88
112,58,120,64
122,72,104,68
116,68,110,66
142,90,156,84
110,78,130,88
234,116,220,120
152,80,180,98
140,86,156,84
198,98,210,104
124,82,130,82
104,66,124,64
142,82,148,84
112,80,126,76
112,70,122,78
132,82,130,70
122,86,138,92
138,82,126,88
116,78,126,86
132,70,124,74
140,88,138,78
138,78,146,84
116,70,106,76
162,78,154,70
160,80,130,84
128,90,130,84
142,78,136,78
146,78,120,80
122,90,116,70
132,90,118,76
100,72,114,80
136,78,134,66
146,86,142,90
152,90,160,100
98,70,106,66
122,78,150,98
118,76,110,76
132,70,124,78
112,80,126,76
110,80,114,84
142,76,130,80
178,102,172,120
162,92,154,86
94,52,102,58
128,90,124,82
148,82,136,90
164,88,152,96
142,98,142,80
128,82,122,62
108,64,120,74
122,94,120,96
114,80,116,64
112,74,124,70
138,82,144,90
128,86,132,80
144,90,140,84
128,82,144,84
118,82,124,80
122,80,140,84
128,80,124,76
102,70,114,80
126,78,122,80
138,86,156,100
112,76,124,76
184,86,188,90
124,78,128,80
132,82,140,76
104,60,110,66
110,70,116,80
122,82,134,76
114,88,108,72
158,92,134,88
138,90,134,90
180,112,174,100
166,92,172,104
122,76,122,80
118,74,126,78
132,82,116,80
154,86,168,86
168,88,160,82
128,80,130,84
108,70,114,72
108,70,134,82
98,52,94,54
112,72,126,78
152,100,154,84
178,98,154,104
144,90,144,80
162,98,158,88
112,70,116,82
144,90,152,92
94,52,90,60
110,70,112,68
120,68,132,80
102,82,120,74
124,82,140,76
156,90,146,84
122,80,132,82
136,86,130,82
128,74,130,80
130,70,118,75
152,92,136,76
182,102,176,96
206,106,194,102
102,72,114,58
168,100,146,100
112,80,110,68
140,80,142,88
122,70,140,80
126,78,136,80
134,94,138,96
128,82,142,78
146,80,134,76
178,104,170,96
152,98,144,92
150,94,130,76
142,92,122,82
124,68,120,76
130,82,120,80
114,70,114,74
102,60,110,68
134,82,142,84
122,68,146,76
110,80,128,76
200,100,230,104
156,88,156,100
142,100,146,98
134,84,158,100
134,74,122,74
138,78,130,78
168,100,184,100
114,88,144,90
152,102,142,84
94,54,90,54
182,96,176,86
128,70,110,70
112,82,138,84
158,92,174,104
138,88,126,78
128,82,126,72
106,70,106,62
126,76,110,68
132,80,138,88
108,64,114,66
114,80,118,78
102,58,136,66
126,76,118,68
122,80,126,74
130,82,130,86
96,62,106,64
138,106,166,105
124,70,110,60
136,78,142,78
130,66,124,66
132,88,156,98
112,64,130,64
128,92,158,102
122,60,111,50
110,78,112,74
128,82,132,78
132,86,138,80
122,70,110,72
110,68,138,80
112,82,120,80
146,100,156,94
124,86,142,90
126,82,126,80
126,82,138,90
118,80,162,96
148,78,158,84
250,142,234,140
128,84,116,80
80,60,100,66
150,100,164,96
128,84,130,94
134,86,160,80
140,86,120,76
144,92,140,82
160,92,162,102
120,66,116,76
130,88,122,74
122,78,128,90
108,62,124,78
132,76,132,78
170,104,170,106
144,92,136,74
162,102,162,92
134,78,138,76
142,86,158,96
138,78,140,84
130,90,128,82
112,80,124,80
136,90,144,96
142,82,188,98
110,84,132,86
114,80,130,80
106,60,104,64
182,110,190,110
148,92,132,76
126,80,116,64
126,78,125,80
140,86,132,80
110,64,112,70
140,80,138,80
122,80,124,76
160,102,178,114
126,74,116,80
126,72,136,78
150,92,158,90
122,78,136,80
190,110,186,112
112,86,120,86
102,74,110,70
152,104,138,80
144,98,140,86
162,104,180,98
158,78,162,82
144,86,138,88
108,61,112,66
138,82,150,96
112,78,122,76
148,70,156,92
124,92,144,92
102,78,110,72
160,108,146,98
132,86,138,86
98,70,118,78
114,66,136,72
152,84,164,88
124,80,120,80
174,94,160,92
92,52,106,56
132,94,144,90
148,76,160,84
122,94,136,94
128,84,112,80
114,80,114,84
140,112,138,98
158,86,160,84
118,76,120,72
120,88,128,76
126,78,110,66
172,100,150,98
178,88,156,96
168,90,156,88
134,84,136,88
160,84,144,92
134,80,136,78
150,98,152,96
160,82,164,74
144,82,162,80
136,86,190,94
126,74,130,72
164,98,142,86
118,70,114,76
122,76,132,86
108,68,104,68
114,76,140,82
132,88,124,84
148,90,138,90
108,74,132,74
108,68,124,78
142,90,142,80
