Data on blood pressures measured by both a physcian and a nurse on the same visit,,,
Not a controlled experiment since the nurse's bp was measured first.,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
NurseSbp,NurseDbp,PhysSbp,PhysDbp
124,78,132,74
108,64,110,70
98,68,124,76
148,72,136,70
122,82,136,84
108,70,114,84
122,76,120,80
140,92,140,84
108,68,114,80
108,70,126,88
128,80,120,72
108,70,120,74
144,86,146,88
118,78,124,78
134,94,142,94
158,78,172,84
144,84,144,86
120,72,132,84
110,74,134,80
122,82,130,92
142,84,122,62
110,82,120,80
146,78,156,88
130,88,114,80
164,98,156,98
112,72,134,74
136,82,144,80
130,68,144,82
118,78,108,70
112,70,120,80
118,66,112,64
108,70,116,74
112,82,116,86
148,80,154,86
116,74,120,76
132,80,132,90
122,72,140,72
102,76,112,80
128,68,120,72
128,82,136,94
120,70,136,80
152,100,172,104
148,88,134,68
124,84,128,90
108,72,134,80
108,68,112,66
140,102,136,96
134,82,136,80
148,98,142,94
122,98,144,76
122,68,110,70
144,70,136,72
138,60,134,80
132,82,128,84
132,76,132,80
114,84,140,94
136,84,150,84
122,74,124,76
98,64,118,60
140,86,138,78
150,100,166,98
144,76,146,92
96,70,128,74
184,100,176,102
168,98,166,104
164,88,160,102
148,88,144,84
138,90,124,80
92,60,122,76
144,92,162,104
130,70,128,82
128,62,144,68
160,98,170,104
116,88,128,84
126,70,114,66
152,72,136,72
180,104,174,98
124,68,118,70
144,92,146,92
134,78,134,80
196,110,192,110
110,64,132,78
138,80,142,86
114,60,114,66
130,72,128,68
110,68,116,68
150,100,164,86
120,84,118,80
170,108,180,114
104,68,122,80
118,82,128,94
100,70,114,74
144,80,144,90
156,98,178,94
118,86,128,84
148,94,142,96
144,82,132,74
126,74,124,74
98,60,110,72
124,82,144,98
156,90,154,78
108,76,106,74
142,96,150,84
142,88,160,98
120,82,116,84
128,90,134,86
100,60,102,60
122,66,114,76
240,170,240,166
164,96,142,94
130,72,112,72
142,86,142,84
142,80,162,68
100,70,116,70
100,80,100,68
112,64,114,64
118,78,124,74
164,100,186,104
104,68,108,78
118,78,144,72
118,74,114,82
160,80,142,70
128,90,158,98
128,78,122,76
98,70,120,80
126,76,126,70
112,72,112,70
126,74,166,86
94,52,96,60
128,48,122,56
142,80,142,80
148,84,146,84
124,78,136,94
150,88,148,88
114,66,104,66
112,66,116,70
162,104,160,94
130,82,148,86
112,70,116,76
134,82,156,94
116,74,124,70
